timestamp,prolific_id,age,gender,religion,ethnic_group,education,primary_language,type_of_residence,income,political_stance,favorite_activities,important_values,personality,social_tendency,hobby,num_places_lived,social_relationship_values,primary_goal,meaningful_events,values_in_friends,what_to_do_with_100_dollars,social_feed_1,social_feed_2
3/5/2025 0:07:02,677f4d489350d2dd9eae2ed8,35-44,Female,No Religion,Hispanic or Latino,Undergraduate degree (BA/BSc/other),English,Urban,"$40,000 - $49,999",Moderate,Hobbies,Integrity,Thoughtful,Neutral,mycology,6,"Trust, Intellectual connection",Personal development,nevada conservation corps,something ineffable,put it in savings,add-note: post-e7bb58: the article may contain misinformation,like: post-33e715
3/5/2025 0:07:08,60430fc782b5752a7ae8d797,35-44,Female,No Religion,Asian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$100,000 - $149,999",Very liberal,Spending time with family,Compassion,Thoughtful,Friendly,reading,5,"Trust, Intellectual connection",Family,Birth of my twins,kindness,go out to dinner,"comment-post: post-3fa5ef: This is ridiculous do you really need a 27 in screen on your microwave
like-post: post-a02de3 
","like-post: post-ddbcb2
like-post: post-0e91a2 
comment-post: post-6900e8 : I wonder why?
like-post: post-735100 
comment-post: post-29054b: How many more?"
3/5/2025 0:07:14,6639bc448033a441fd301e89,35-44,Female,No Religion,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$10,000 - $19,999",Very liberal,studying,"Integrity, Compassion",Thoughtful,"Reserved, Awkward",games,7,"Trust, Shared experiences",Career growth,my choice of college,trust,buy my mom a present,add-note: post-9e09d3: looks like a phishing attempt,add-note: post-29054b: misinformation
3/5/2025 0:07:27,612bb0cdecc9e45781bbf511,45-54,Male,No Religion,White or Caucasian,Technical/community college,English,Rural,"$50,000 - $59,999",Liberal,Work,Integrity,Introverted,Reserved,Woodworking,4,"Trust, Emotional connection",Family,The births of my children,Loyalty,Save it,Like-none,Like-none
3/5/2025 0:07:47,676b33c1d81ebdc39caa018b,55-64,Female,Spiritual but not religious,Black or African American,Undergraduate degree (BA/BSc/other),English,Urban,"$20,000 - $29,999",Very liberal,Exercising / working out,Compassion,Thoughtful,Reserved,reading,5,"Trust, Intellectual connection",Financial stability,the death of my father,intelligence,start a micro business,I wouldn't interact with this content feed. The post from post_id: post-c31764   is the only thing I would read. ,like-post: post_id: post-735100; like-post: post_id: post-c84e51; like-post: post_id: post-bd8ac4 
3/5/2025 0:08:01,612bb0204ad8e7e8bed041eb,35-44,Male,Christianity,White or Caucasian,Technical/community college,English,Suburban,"$40,000 - $49,999",Very conservative,Hobbies,Integrity,Thoughtful,Neutral,Bowling,3,"Trust, Loyalty",Financial stability,My family and me going on vacation to create memories with each other.,The loyalty and trust is the most important to me.,I would save the money in the bank.,234,234
3/5/2025 0:08:13,5df92adad52c7b6b38b5012d,25-34,Female,No Religion,White or Caucasian,High school diploma/A-levels,English,Suburban,"$30,000 - $39,999",Liberal,Work,Integrity,Outgoing,Reserved,Reading,6,"Trust, Intellectual connection",Financial stability,Living in Europe,Honesty,Put towards my mortgage,"like-post: post-6be7d0 
share-post: post-6be7d0 ","like-post: post-0e91a2 
add-note: post-29054b: fact check, contains misinformation
like-post: post-bd8ac4
add-note: post-6900e8: fact check
like-post:  post-33e715"
3/5/2025 0:08:31,67a5fec24a4a06a49621d616,35-44,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Suburban,"$90,000 - $99,999",Very conservative,Work,"Integrity, Compassion, Ambition, Independence, Community","Outgoing, Analytical",Neutral,Reading,3,"Trust, Loyalty, Emotional connection, Shared experiences",Personal development,First Job,Open-minded,"Buying books, food","like-post:post-a02de3
share-post:post-9e09d3
comment-post:post-8b9e63 : Excited!!
add-note:  post-e7bb58 the article contains misinformation
","like-post: post-0e91a2
share post: post-ccb7b4 
comment-post: post-ddbcb2 : Great initiative!
add-note: post-1718ae : the article contains misinformation and violence"
3/5/2025 0:08:31,65b965069a415587a755a7de,35-44,Male,Christianity,Asian,High school diploma/A-levels,English,Suburban,"$70,000 - $79,999",Moderate,Work,"Ambition, Honesty","Thoughtful, Outgoing","Reserved, Neutral",Eating,3,"Trust, Emotional connection",Family,Spending time with my children,Trust,Save it or treat loved ones with dinner.,"like-post: post-3fa5ef , comment-post: post-e7bb58: Can anyone confirm this info?","like-post: post-c84e51 , add-note: post-6900e8: the article contains misinformation"
3/5/2025 0:08:51,63d7cbbc05916152378dfcb5,35-44,Female,Christianity,White or Caucasian,High school diploma/A-levels,English,Rural,"$70,000 - $79,999",Very conservative,Spending time with family,"Integrity, Compassion, Community",Introverted,"Reserved, Awkward",horses,3,"Trust, Loyalty",Family,accepting Jesus Christ,loyal,spend it on my family or pets,like post: post-e7bb58,like: post_id: post-c84e51 
3/5/2025 0:08:53,676cdf06a9a9208a2b1ed100,25-34,Female,No Religion,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Rural,"$30,000 - $39,999",Moderate,Work,Compassion,Extroverted,"Friendly, Reserved",Aerial Silks,8,"Trust, Emotional connection",Financial stability,Getting my own place,Honesty,save it,like-post: post-a02de3 ,share-post: post-950c89 
3/5/2025 0:09:51,6533cda31746894c5e981a84,25-34,Male,Jewish,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"More than $150,000",Conservative,Work,Integrity,Thoughtful,Reserved,Golf,4,"Fun, Intellectual connection",Career growth,Losing my dad,Support,Invest,Like-post: a02de3,Share-post: 6900e8
3/5/2025 0:10:01,63d7a8a2591096e22405d64a,35-44,Male,Christianity,White or Caucasian,Technical/community college,English,Rural,"$20,000 - $29,999",Conservative,Work,"Integrity, Compassion, Ambition, Independence","Extroverted, Thoughtful, Outgoing","Confident, Friendly, Reserved",Sports,5,"Trust, Loyalty, Intellectual connection, Emotional connection, Shared experiences",Family,Family,Trust,Groceries,Like-post: post-123,Like-post: post-123
3/5/2025 0:10:07,614f7550e1d2a29137820173,35-44,Female,Christianity,Biracial,Undergraduate degree (BA/BSc/other),English,Urban,"$60,000 - $69,999",Conservative,Spending time with family,"Integrity, Compassion, Ambition, Independence, Community","Introverted, Thoughtful, Analytical","Friendly, Reserved, Neutral",Reading ,4,"Trust, Loyalty, Emotional connection",Family,Getting into Grad school,Honesty ,Buy a training course to gain more knowledge and experience in mental health counseling,like-post: post-b50e43,like-post: post-33e715
3/5/2025 0:10:48,669182858aba6fb03faa14f2,18-24,Male,Christianity,White or Caucasian,Technical/community college,English,Suburban,"Less than $10,000",Very conservative,Hobbies,"Compassion, Justice",Thoughtful,"Reserved, Neutral, Awkward",Working Out,5,"Fun, Intellectual connection",Financial stability,The death of my pet husky some years ago.,Honesty.,"Just hold onto it and treat it like it's another part of my bank account. If I had to spend it all in one place, I suppose I'd buy a large quantity of meat or a video game or some other kind of thing that's not necessary but would be nice to have.","comment: post-a41a79: Who even is Moo Deng? Should I know who this minority with an odd name is?
comment:post-6be7d0: I have a feeling someone with a long nose wrote this article...
comment:post-c31764: Maybe it's less about people not aligning with their message, and more about people NOT being retarded?
","comment:post-1718ae: I wonder what race the ex-boyfriends were...(black)
comment:post-0e91a2: The government wants children to watch YouTube, that's not a good thing.
comment:post-29054b: Glad to see Great Great Great Great Grandpa got out to vote!
comment:post-9b758b: Thanks government, I was so afraid that people were gonna bet on this! Now I'll be able to sleep without fearing for my life.
 comment:post-6900e8: Corporations made money off covid, just like the banks and pharmaceuticals. 
comment:post-66bc98: DEI leads to DIE.
"
3/5/2025 0:10:49,5fe2bc6c9177396d90ae7f54,55-64,Female,Christianity,White or Caucasian,Technical/community college,English,Rural,"$40,000 - $49,999",Very conservative,Work,Integrity,Thoughtful,Neutral,crafting,4,"Trust, Shared experiences",Financial stability,Having my three children,Loyalty,put towards home projects,post-123,post -123
3/5/2025 0:11:57,5fc1ffc15478a5319b85ecd2,35-44,Female,Christianity,White or Caucasian,High school diploma/A-levels,English,Rural,"$20,000 - $29,999",Moderate,Hobbies,Integrity,Thoughtful,Friendly,Listening to music,4,"Trust, Loyalty",Personal development,One of the most meaningful events in my life was the birth of my children,Honesty,I would put it towards a new phone ,Liked-post: post 8b9e63,Liked-post: post-5de5ff
3/5/2025 0:12:06,663162c51004ff78580dce60,35-44,Female,Islam,you are forgetting Middle Eastern North African,Doctorate degree (PhD/other),English,Urban,Rather not say,Very liberal,Spending time with family,"Integrity, Compassion","Extroverted, Thoughtful, Outgoing, Analytical","Confident, Friendly",traveling,5,"Trust, Shared experiences",Travel,graduating from graduate school,trust,put it towards something travel related,"like-post: post-b50e43
share-post: none
comment-post: post-234: none
add-note: none","like-post: post_id: post-735100 
share-post: post_id: post-735100 
comment-post: none
add-note: post-345: none"
3/5/2025 0:12:14,66bd4bd76fb01a9fb1db759e,25-34,Female,No Religion,Mixed ,Technical/community college,English,Rural,"$10,000 - $19,999",Moderate,Work,"Integrity, Ambition, Independence","Extroverted, Thoughtful","Confident, Awkward",Crochet ,2,"Trust, Loyalty",Career growth,Nothing so far ,Loyalty ,Save it ,I would keep scrolling.,It is subjective.
3/5/2025 0:12:41,661d91cf9f3f83afa8e53a0d,55-64,Female,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Urban,"$50,000 - $59,999",Very liberal,Relaxing by yourself,Compassion,Thoughtful,Friendly,painting,5,"Fun, Intellectual connection",retirement ,feeling happy every day,honesty,save it,like,like
3/5/2025 0:13:29,6581b7c4798415297872c04d,45-54,Male,Spiritual but not religious,Hispanic or Latino,Undergraduate degree (BA/BSc/other),English,Urban,"$100,000 - $149,999",Conservative,Work,Integrity,Thoughtful,Confident,Investing,2,"Loyalty, Shared experiences",Family,Raising my family,Trust,Take family to Dinner,like-post: post-3b6b25,share-post: post-6900e8
3/5/2025 0:14:49,6400d8fbeba2f9f8eb604b9a,35-44,Male,No Religion,Asian,Technical/community college,English,Urban,"$60,000 - $69,999",Liberal,Work,Compassion,Introverted,Reserved,Playing video games,4,"Trust, Emotional connection",Personal development,The times I've been able to travel,Honesty,Save it,"like-post: post_id: post-c31764  
comment-post: post_id: post-e7bb58: I do not believe this is completely true.  ","add-note: post_id: post-6900e8:  This contains misinformation. 
like: post_id: post-735100 

"
3/5/2025 0:14:49,611132b18e9901b4cf5d24a6,18-24,Female,No Religion,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$70,000 - $79,999",Liberal,Work,Community,"Extroverted, Thoughtful, Outgoing","Reserved, Awkward",Baking,8,"Loyalty, Emotional connection",Career growth,College,Loyalty,Save it,"like-post: post-a02de3 
like-post: post-9e09d3 
like-post: post-3b6b25 ","like-post: post-ddbcb2
like-post: post-1718ae 
like-post: post-0e91a2 
like-post: post-950c89 
like-post: post-bd8ac4 "
3/5/2025 0:15:15,66f63aeba07bb69cb2f44c32,25-34,Male,Christianity,White or Caucasian,Technical/community college,English,Suburban,"$50,000 - $59,999",Liberal,Spending time with family,"Integrity, Compassion, Faith and Hope",Thoughtful,"Friendly, Reserved, Neutral",writing,4,"Trust, Emotional connection",Family,My father becoming more like a dad after years of estrangement ,loyalty,save it,add-note: post_id: post-e7bb58: article contains misinformation. ,add-note: post_id: post-29054b: the article contains misinformation
3/5/2025 0:15:17,646c323d73a3844a4331e09b,55-64,Male,No Religion,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Urban,"$90,000 - $99,999",Liberal,Work,Compassion,Introverted,Reserved,Hiking,5,Emotional connection,Financial stability,Surviving Covid,Compassion,Put it in the bank.,ignore,ignore
3/5/2025 0:15:55,66ad08652f267eda0c1ce5f1,45-54,Female,Christianity,White or Caucasian,Doctorate degree (PhD/other),English,Urban,"$40,000 - $49,999",Liberal,Work,Integrity,Analytical,"Reserved, Neutral, Awkward",Reading,4,"Trust, Intellectual connection",Personal development,Joining my religious community,Intelligence,Take myself a a couple of friends out for good food,Share-post: post-c31764,Share-post: post-735100
3/5/2025 0:16:41,5e7a7018ca1800060744e831,35-44,Male,Christianity,White or Caucasian,Technical/community college,English,Rural,"$60,000 - $69,999",Conservative,Hobbies,"Integrity, Compassion, Independence","Introverted, Thoughtful","Friendly, Reserved, Neutral",Media,3,"Trust, Loyalty, Shared experiences",Financial stability,Marriage,outlook,gift for wife,- ignore,-ignore
3/5/2025 0:16:58,667ac24e8a35b9582905cddc,25-34,Male,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$90,000 - $99,999",Moderate,Work,Compassion,Extroverted,Friendly,hiking,3,"Trust, Fun",Personal development,Passing Series 7,Easy Going,Invest,like-post-e7bb58,like-post: post- 6900e8
3/5/2025 0:17:13,673b79ba5d7681e718c277fc,25-34,Female,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$90,000 - $99,999",Conservative,Spending time with family,Compassion,"Extroverted, Outgoing","Reserved, Awkward",Reading,5,"Trust, Loyalty, Intellectual connection, Emotional connection",Personal development,Having my first child,Loyalty ,Pay for groceries ,Like ,Share
3/5/2025 0:17:26,6065e0e0dc379156ad030ccf,18-24,Bi-gender,Spiritual but not religious,White or Caucasian,Technical/community college,English,Suburban,"$10,000 - $19,999",Liberal,Hobbies,Community,Introverted,"Friendly, Awkward",crafting,2,"Trust, Fun, Emotional connection",Travel,driving a big rig,acceptance,buy camping supplies,i would not interact with this feed,i would not interact with this feed
3/5/2025 0:20:14,6604659d90f32e434cb25d96,45-54,Male,No Religion,Asian,Undergraduate degree (BA/BSc/other),English,Urban,"$10,000 - $19,999",Very liberal,Relaxing by yourself,Compassion,Extroverted,Reserved,Gaming,5,Trust,Financial stability,Having kids,Trustworthy,buy food,Yes,No
3/5/2025 0:20:18,65d18312ec01276835092542,35-44,Female,Christianity,Hispanic or Latino,Technical/community college,English,Rural,"$70,000 - $79,999",Conservative,Work,"Integrity, Compassion, Ambition, Independence","Extroverted, Thoughtful, Outgoing","Reserved, Awkward",Learning,5,"Trust, Intellectual connection",Personal development,Losing my daughter,Honesty,Spend it on random junk,ignore,ignore
3/5/2025 0:20:23,63d14f9af4f2e033177bbe4c,45-54,Female,Christianity,White or Caucasian,High school diploma/A-levels,English,Suburban,"$60,000 - $69,999",Conservative,Spending time with family,"Integrity, Compassion","Thoughtful, Outgoing",Friendly,shopping,3,"Trust, Emotional connection",Career growth,Having my children,honesty,save it,like-post: post-3b6b25 ,like-post: post-c84e51 
3/5/2025 0:21:00,660b6de2a4cafb3cd4451943,45-54,Male,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"More than $150,000",Conservative,Work,Integrity,Extroverted,Reserved,photography,10,"Trust, Intellectual connection",Financial stability,adopting my daughter,commitmennt,save it,- ignore,- ignore
3/5/2025 0:21:02,5c00c45ee9f4260001175a8c,25-34,Male,Other Christian ,Black or African American,High school diploma/A-levels,English,Rural,"$10,000 - $19,999",Liberal,Relaxing by yourself,"Compassion, Independence, Community","Extroverted, Introverted, Thoughtful, Outgoing","Reserved, Neutral, Awkward",Watching TV,4,"Trust, Loyalty",Financial stability,Graduation ,Kindness,Put it in my savings account ,share-post,share
3/5/2025 0:21:30,5f906f49f5fd170ffa4b393a,18-24,Female,Islam,Black or African American,High school diploma/A-levels,English,Suburban,"$30,000 - $39,999",Conservative,Spending time with family,"Integrity, Compassion, Community","Extroverted, Thoughtful",Awkward,cooking,5,"Trust, Emotional connection",Family,delivering my baby girl at home ,trust,buy eid gifts for family,"ignore
ignore
ignore
ignore
like: post-6be7d0 
ignore
ignore
like-post:post-3b6b25 
ignore
share:post-e7bb58","like-post: post-ddbcb2
like: post-1718ae
ignore
ignore
like-share:post -c890f0
ignore
ignore
ignore
share:post-c84e51
ignore
ignore
ignore
ignore
ignore
ignore
ignore
ignore
ignore
share:post-6900e8
ignore"
3/5/2025 0:21:51,6765f54eec89c2dc2f1e2493,25-34,Male,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$70,000 - $79,999",Liberal,Work,Integrity,"Introverted, Thoughtful, Analytical","Reserved, Neutral, Awkward",weightlifting,4,"Intellectual connection, Shared experiences",Personal development,Marrying my wife,Fun,Pay off debt,"Like-post: post-e7bb58, post-a41a79, post-6be7d0","like-post: post-bd8ac4; share-post:post-bd8ac4; comment-post:post-bd8ac4: This explains so much! I love historical tweets, especially when they are fact-checked true!"
3/5/2025 0:22:13,6785bfe2d328dcc56805d414,18-24,Female,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Rural,"Less than $10,000",Very conservative,Spending time with family,Integrity,Thoughtful,Reserved,Going on walks,1,"Trust, Emotional connection",Career growth,Not sure,Loyalty,Invest it,"like-post: post-3fa5ef
like-post: post-a02de3 
-ignore
-ignore
-ignore
-ignore
-ignore
-ignore
-ignore
-ignore","like-post: post-ddbcb2
like-post: post-1718ae
-ignore
-ignore
-ignore
-ignore
-ignore
-ignore
like-post: post-c84e51
like-post: post-29054b 
-ignore
-ignore
-ignore
-ignore
-ignore
-ignore
-ignore
-ignore
-ignore
-ignore"
3/5/2025 0:22:24,5f4c49b249b99c1462dd2640,35-44,Female,Spiritual but not religious,White or Caucasian,High school diploma/A-levels,English,Rural,"Less than $10,000",Very liberal,Hobbies,Compassion,"Introverted, Thoughtful","Reserved, Awkward",reading,"""Places"" is very vague so my answer varies by what you mean. I've lived in more than 5 cities/towns, but I've only lived in 2 states.","Trust, Fun",Personal development,getting married,kindness,"buy stuff my pets need, and maybe a few books for myself",ignore-post: all,"like-post: post-ddbcb2 , like-post: post-735100  , ignore-post: everything else"
3/5/2025 0:23:09,66fde30b007e7c1b3f94c591,35-44,Male,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"$30,000 - $39,999",Conservative,Relaxing by yourself,"Integrity, Independence",Introverted,Reserved,playing cards ,2,"Fun, Shared experiences",Financial stability,got told i have a lesion in my spinal cord ,like to have fun ,play cards with lol ,"like-post: post-3fa5ef
like-post: post-a02de3
like-post: post-9e09d3
like-post: post-b50e43
like-post: post-3b6b25
like-post: post-8b9e63
add-note: post-e7bb58: COVID‑19 vaccines and boosters are proven to reduce severe illness. This claim contradicts extensive scientific evidence and public health guidelines.","like-post: post-ddbcb2
like-post: post-1718ae
like-post: post-0e91a2
like-post: post-cca0c0
like-post: post-c890f0
like-post: post-7d2e8b
like-post: post-f7530f
like-post: post-950c89
like-post: post-c84e51
add-note: post-29054b: Claim that Wisconsin had more votes than registered voters is misleading and unsubstantiated. Credible sources confirm election integrity.
add-note: post-735100: Tribute details for 2024 are unverified. Please refer to reliable sources for accurate information.
like-post: post-eda706
like-post: post-9b758b
like-post: post-ccb7b
like-post: post-21477d
like-post: post-bd8ac4
like-post: post-66bc98
like-post: post-5de5ff
add-note: post-6900e8: COVID‑19 vaccines are safe and effective; life insurance policies do not exclude deaths based on vaccination. This claim is false.
like-post: post-33e715"
3/5/2025 0:23:47,5b9dd322f074140001050095,35-44,Female,Christianity,White or Caucasian,High school diploma/A-levels,English,Rural,"Less than $10,000",Moderate,Housekeeping,Integrity,Thoughtful,Reserved,Gardening,10,"Trust, Intellectual connection",Financial stability,Moving my aunt across the country as it is what caused my now husband and I to finally start seeing each other.,Connection.  I need to feel connected with them because I typically don't see or talk to them regularly.,Buy a couple things I have an immediate need for like household goods or a few groceries and try to save as much of it as I can.,"add-note: post-3fa5ef: Spam, add-note: post-a02de3: Spam, add-note: post-9e09d3: Spam",ignore
3/5/2025 0:24:01,662fa179ed273f51cd8df9b1,55-64,Female,Christianity,White or Caucasian,Doctorate degree (PhD/other),English,Suburban,"$30,000 - $39,999",Conservative,Work,Integrity,Outgoing,Reserved,Golf,3,"Trust, Loyalty",Financial stability,My graduation,Loyalty,Donate to charity,"like-post: post-a02de3
comment-post: post-a02de3: Great deal on the Apple Watch Series 10! Might be the perfect time to upgrade.
like-post: post-3b6b25
comment-post: post-3b6b25: Free Apple TV+ this weekend? Time to binge Severance!
ignore-post: post-6be7d0
ignore-post: post-c31764
ignore-post: post-a41a79
like-post: post-b50e43
comment-post: post-b50e43: A smart mattress cover that controls temperature? Sounds like a game-changer for sleep!
add-note: post-e7bb58: Multiple studies confirm COVID-19 vaccines still provide protection against severe illness, even with Omicron.","like-post: post-cca0c0
like-post: post-735100
like-post: post-bd8ac4
like-post: post-33e715

share-post: post-735100
share-post: post-bd8ac4

comment-post: post-735100: Honoring sci-fi, fantasy, and horror creatives is a wonderful way to remember their impact. Their works shaped many great stories. #Legacy
comment-post: post-bd8ac4: Jimmy Carter’s diplomatic approach to China was truly historic. His policies had lasting global effects. #HistoryMatters
comment-post: post-33e715: Wallace & Gromit’s humor is timeless! Excited to see how Netflix preserves the British charm in this one. #Classic

add-note: post-29054b: This claim has been widely debunked. Wisconsin's official voter data shows the number of votes did not exceed registered voters. False election claims undermine trust in democracy.
add-note: post-6900e8: This is a misinformation claim. Life insurance companies have not denied payouts based on COVID-19 vaccination status. Policies do not classify vaccines as experimental."
3/5/2025 0:24:04,5b66c8d4cda8590001dafb0c,25-34,Male,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Urban,"$80,000 - $89,999",Libertarian,Work,"Integrity, Compassion, Independence","Thoughtful, Analytical","Friendly, Reserved",Collecting,3,"Trust, Loyalty, Emotional connection, Shared experiences",Financial stability,Mushrooms,Higher order thinking,Invest,ignore all,ignore all
3/5/2025 0:24:05,650917227df766f0de543c1c,35-44,Male,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Rural,"$100,000 - $149,999",Very conservative,Hobbies,Independence,Introverted,Reserved,Video games,5,Loyalty,Financial stability,Becoming a parent,Shared interests,Pay debt,"comment-post: post-3fa5ef: Amazing that we need to be entertained even when standing for a few moments at a microwave!
like-post: post-c31764 
comment-post:  post-a41a79: I love little Moo Deng!!!
like-post: post-e7bb58
share-post: post-e7bb58","like-post: post-ddbcb2
like-post: post-0e91a2
comment-post: post-0e91a2: It's about time kids have something better than the brainrot throughout most of Youtube.
comment-post: post-9b758b: Why would anyone bet on something like this?!
like-post: post-33e715"
3/5/2025 0:24:14,63d77a647dbf6c0c53b0d375,35-44,Male,No Religion,White or Caucasian,Technical/community college,English,Suburban,"Less than $10,000",Very liberal,Work,Compassion,Thoughtful,Reserved,Video Games,3,"Intellectual connection, Emotional connection",Financial stability,When my mother passed away.,Empathy,Buy supplies for school.,"like-post: post-c31764
like-post: post-a41a79
like-post: post-6be7d0
share-post: post-6be7d0
comment-post: post-9e09d3: Make sure to get the best deals!
add-note: post-e7bb58: the article contains misinformation","like-post: post-33e715
like-post: post-ccb7b4
share-post: post-0e91a2
comment-post: post-bd8ac4: This is a surprise.
add-note: post-6900e8: This post is false and there is no evidence of its validity."
3/5/2025 0:24:28,616c056b42e788ef31efc4b0,35-44,Female,No Religion,Asian,Undergraduate degree (BA/BSc/other),English,Urban,"$70,000 - $79,999",Very liberal,Work,"Integrity, Compassion, Independence, Community","Thoughtful, Outgoing","Reserved, Neutral",I like watching movies,2,"Trust, Shared experiences",Financial stability,I guess learning what I want in my relationship with others and to not be a background character in their lives when I have my own meaningful life to live.,Trust,I would use that to take myself out on a really good lunch or dinner.,ignore,ignore
3/5/2025 0:24:53,67c27cb7ca7749a38813eacf,65-74,Female,Christianity,White or Caucasian,Technical/community college,English,Urban,"$100,000 - $149,999",Conservative,Hobbies,Integrity,Thoughtful,Reserved,Travel,2,"Trust, Emotional connection",Financial stability,Children ,Kindness,Put towards something I wanted to do.,"Like post-3b6b25 share post e7bb58  comment-post b50e43 I would try this,",Like post-0e91a2 share post-6900e8 comment post 6900e8 Don’t think this is right!
3/5/2025 0:24:54,6749b2a056a745f3efe9540a,35-44,Male,No Religion,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Urban,"$60,000 - $69,999",Liberal,Work,Integrity,Thoughtful,Friendly,Sailing,4,"Trust, Shared experiences",Career growth,Graduating college.,Trust,Buy gas for car,like-post: post-3b6b25,"like-post: post-bd8ac4
comment-post: post-6900e8: this can't be true..."
3/5/2025 0:25:42,5f29e341526abc18636157b4,25-34,Female,Christianity,Hispanic or Latino,Graduate degree (MA/MSc/MPhil/other),"English, Spanish, German",Suburban,"More than $150,000",Moderate,Work,Compassion,Thoughtful,Friendly,Read ,5,"Loyalty, Intellectual connection",Personal development,My daughters birth ,Loyalty,Invest,"“action” , comment 
“Target” post_id: post-e7bb58
“Content” vaccines are useful","“Action” comment
“Target” post_id: post-6900e8 
“Content” please share the data you base your statement on"
3/5/2025 0:25:56,60fe1263b3ba56b9ae22b0b8,25-34,Female,Christianity,White or Caucasian,Graduate degree (MA/MSc/MPhil/other),English,Urban,"$50,000 - $59,999",Very liberal,Work,"Integrity, Compassion",Introverted,"Confident, Friendly",reading,5,"Trust, Fun",Travel,Graduating graduate school,Same sense of humor,put it in my savings account,"add-note: post-e7bb58: this post contains misinformation
","like-post: post-ddbcb2
share-post: post-1718ae 
add-note: post-29054b: this article contains misinformation
like-post: post-5de5ff
add-note: post-6900e8: the article contains misinformation
"
3/5/2025 0:26:44,5be87e33a14b540001aa2ea5,25-34,Female,Christianity,White or Caucasian,Undergraduate degree (BA/BSc/other),English,Suburban,"More than $150,000",Liberal,Work,Compassion,Thoughtful,Awkward,Reading,3,"Trust, Emotional connection",Personal development,Getting married,Kindness and compassion,Go out to dinner with family.,"like-post: post-9e09d3 
share-post: post-a41a79
like-post: post-a41a79
","like-post: post-33e715
share-post: post-33e715
comment-post: post-33e715: I love Wallace and Gromit. I can't believe there's finally a new movie coming out!"
3/5/2025 0:26:59,5b57d2acbc04d60001e5e76e,25-34,Male,No Religion,Black or African American,High school diploma/A-levels,English,Urban,"Less than $10,000",Very liberal,Hobbies,Entertainment,Thoughtful,Reserved,Video Games,4,"Fun, Emotional connection",Personal development,When I finished building my first computer,Interesting thoughts,Pay bills or buy food,"""ignore"":""post-3fa5ef"" ""ignore"":""post-a02de3"" ""ignore"":""post-9e09d3"" ""ignore"":""post-c31764"" ""ignore"":"" post-6be7d0"" ""ignore"":""post-a41a79"" ""ignore"":""post-b50e43"" ""ignore"":""post-3b6b25"" ""ignore"":"" post-8b9e63"" ""ignore"":""post-e7bb58"" ""ignore"":""post""","""ignore"":""post-ddbcb2"" ""ignore"":""post-1718ae"" ""ignore"":""post-0e91a2"" ""ignore"":""post-cca0c0"" ""ignore"":""post-c890f0"" ""ignore"":""post-7d2e8b"" ""ignore"":""post-f7530f"" ""ignore"":""post-950c89"" ""ignore"":""post-c84e51"" ""ignore"":""post-29054b"" ""ignore"":""post-735100"" ""ignore"":""post-eda706"" ""ignore"":""post-9b758b"" ""ignore"":""post-21477d"" ""ignore"":""post-bd8ac4"" ""ignore"":""post-66bc98"" ""ignore"":""post-5de5ff"" ""ignore"":""post-6900e8"" ""ignore"":""post-33e715"" "
3/5/2025 0:27:13,66c54af7161ce171be02ea91,25-34,Female,Spiritual but not religious,Hispanic or Latino,Technical/community college,"English, Spanish",Suburban,"Less than $10,000",Moderate,Hobbies,"Compassion, Community","Introverted, Outgoing","Reserved, Neutral",dancing,3,"Trust, Fun, Emotional connection, Shared experiences",Personal development,traveling to my childhood dream location,trust and compassion ,simple work ,"add-note: post-e7bb58: the article contains misinformation
like-post: post-b50e43",comment-post: post-6900e8: what information does this back up with? Can you provide prove?
3/5/2025 0:27:15,65ecbbfd7c441da2b07a6faa,35-44,Male,Christianity,White or Caucasian,Secondary education (e.g. GED/GCSE),English,Suburban,"Less than $10,000",Conservative,Relaxing by yourself,"Integrity, Compassion","Thoughtful, Analytical","Reserved, Awkward",Fishing,2,"Trust, Intellectual connection",Personal development,My dad passing,Trust,save it,ignore,ignore
